"C024";"Moving Bellz";"Bell/Mallet"
"C025";"Tsunami Waves";"SlowSynth"
"C026";"HipHop Lead";"LeadSynth"
"C027";"Fretless Bass";"Bass/Synth Bass"
"C028";"Mute Monster";"Guitar/Plucked"
"C029";"Aqua Phonics";"MotionSynth"
"C030";"Jazz Clarinet";"Woodwind/Reed"
"C031";"Goa Lover";"SE"
"C032";"Analog Piano";"FastSynth"
"C033";"Classic Wurly";"Keyboard"
"C034";"Noise Shot";"Hit/Arpg"
"C035";"StringsQuartet 1";"Strings"
"C036";"X-Mod Raver";"LeadSynth"
"C037";"Garage SQ Bass";"Bass/Synth Bass"
"C038";"Power Snap Synth";"FastSynth"
"C039";"Old Tone-Wheel";"Organ"
"C040";"Velo Kalimba";"Bell/Mallet"
"C041";"Antartic Wind";"SlowSynth"
"C042";"Smooth Sine Lead";"LeadSynth"
"C043";"E.Bass Pick 2";"Bass/Synth Bass"
"C044";"A.Guitar NatATK";"Guitar/Plucked"
"C045";"Pods In The Pad";"MotionSynth"
"C046";"Reed Of Power";"Woodwind/Reed"
"C047";"New Voyage";"SE"
"C048";"Noisy Stabber";"FastSynth"
"C049";"Sticky Rez Clav";"Keyboard"
"C050";"Organ Impact";"Hit/Arpg"
"C051";"UK Garage Bass";"Bass/Synth Bass"
"C052";"UGLY HoUSe Kit";"Drums"
"C053";"Oooh Voices ST";"Vocal/Airy"
"C054";"Film Brass";"Brass"
"C055";"Polyphonic Line";"FastSynth"
"C056";"Dynamic E.Guitar";"Guitar/Plucked"
"C057";"Ravelian Pad";"SlowSynth"
"C058";"Fat Syn Sync";"LeadSynth"
"C059";"E.Bass Finger";"Bass/Synth Bass"
"C060";"Feedback D. Gtr.";"Guitar/Plucked"
"C061";"Cyclic X-Fades";"MotionSynth"
"C062";"English Horn";"Woodwind/Reed"
"C063";"Gliding Squares";"FastSynth"
"C064";"Square Snaps";"FastSynth"
"C065";"90's Piano";"Keyboard"
"C066";"Synchro Science";"Hit/Arpg"
"C067";"HybridStrg/Choir";"Strings"
"C068";"Marc Tree";"Drums"
"C069";"Hard Velo Bass";"Bass/Synth Bass"
"C070";"Cyber Choir";"FastSynth"
"C071";"Sine DWGS-Organ";"Organ"
"C072";"Digital Bells 2";"Bell/Mallet"
"C073";"Harmonic Pad";"SlowSynth"
"C074";"Digitized Raver";"LeadSynth"
"C075";"Feedback MG Bass";"Bass/Synth Bass"
"C076";"PedalSteelGuitar";"Guitar/Plucked"
"C077";"OXYGEN";"MotionSynth"
"C078";"Hybrid Digi EP";"Keyboard"
"C079";"Video Blaster";"SE"
"C080";"Pop Synth Pad";"FastSynth"
"C081";"White Pad EP";"Keyboard"
"C082";"Big Hit in India";"Hit/Arpg"
"C083";"Jungle Rez Bass";"Bass/Synth Bass"
"C084";"D'n'B Gate Kit";"Drums"
"C085";"The AirVox";"Vocal/Airy"
"C086";"Tight Brass";"Brass"
"C087";"Thunderlog";"FastSynth"
"C088";"Bottle-Bell";"Bell/Mallet"
"C089";"Smoothy Pad";"SlowSynth"
"C090";"Syncro City";"LeadSynth"
"C091";"Ramp Jungle Bass";"Bass/Synth Bass"
"C092";"Old 12-String";"Guitar/Plucked"
"C093";"Flying Machines";"MotionSynth"
"C094";"Fisa Cassotto";"Woodwind/Reed"
"C095";"Compu-shift";"SE"
"C096";"S&H Reso Comp";"FastSynth"
"C097";"Pro-Dyno EP";"Keyboard"
"C098";"Motion Raver";"Hit/Arpg"
"C099";"Octave Strings";"Strings"
"C100";"Percussion Kit";"Drums"
"C101";"Blaster Bass";"Bass/Synth Bass"
"C102";"Band Passed";"FastSynth"
"C103";"M1 Organ";"Organ"
"C104";"GlassBell Bright";"Bell/Mallet"
"C105";"Analog Pad";"SlowSynth"
"C106";"Octo Lead";"LeadSynth"
"C107";"Karma Sutra";"Bass/Synth Bass"
"C108";"CleanMute-Guitar";"Guitar/Plucked"
"C109";"Stereo Rez Sweep";"MotionSynth"
"C110";"Theatrical Pad";"SlowSynth"
"C111";"Distant Lights";"SE"
"C112";"Soft Synth Brass";"FastSynth"
"C113";"Sweeping EP";"Keyboard"
"C114";"Techno Stat";"Hit/Arpg"
"C115";"Phat Bass";"Bass/Synth Bass"
"C116";"Wild Wasp";"Hit/Arpg"
"C117";"Vocalscaping";"Vocal/Airy"
"C118";"Big Band Plunger";"Brass"
"C119";"Filter Morpher";"FastSynth"
"C120";"Breathy Bells";"Bell/Mallet"
"C121";"Cinema Pad";"SlowSynth"
"C122";"Electro Lead";"LeadSynth"
"C123";"30303 Mega Bass";"Bass/Synth Bass"
"C124";"E.G. Harmonics";"Guitar/Plucked"
"C125";"Moon Talker";"MotionSynth"
"C126";"TenorSax Brth.-Y";"Woodwind/Reed"
"C127";"Wispy Dry Wind";"SE"
"D000";"Comp Trance Stab";"FastSynth"
"D001";"PianoMezzoDark";"Keyboard"
"D002";"Bounce Shot";"MotionSynth"
"D003";"Legato Strings";"Strings"
"D004";"House Kit";"Drums"
"D005";"Bazooka Bass";"Bass/Synth Bass"
"D006";"Brass Of Power";"Brass"
"D007";"Jazz Organ 2";"Organ"
"D008";"Mondo'Rimba";"Bell/Mallet"
"D009";"Money Pad";"SlowSynth"
"D010";"Square Wave Lead";"LeadSynth"
"D011";"The Growler";"Bass/Synth Bass"
"D012";"FingertipsGuitar";"Guitar/Plucked"
"D013";"Flashlight Pad";"MotionSynth"
"D014";"Recorder";"Woodwind/Reed"
"D015";"One Note Stories";"SE"
"D016";"Square Rez";"FastSynth"
"D017";"Vintage EP";"Keyboard"
"D018";"Brass Impact Hit";"Hit/Arpg"
"D019";"The Pad";"SlowSynth"
"D020";"Jazz/Brush Kits";"Drums"
"D021";"Ooh/Aah VoicesST";"Vocal/Airy"
"D022";"Muted Trumpet";"Brass"
"D023";"Killer B";"Organ"
"D024";"Magical Bells";"Bell/Mallet"
"D025";"{(Meditate})";"SlowSynth"
"D026";"Trancer Lead";"LeadSynth"
"D027";"Sweet Fretless";"Bass/Synth Bass"
"D028";"Amp D. Guitar";"Guitar/Plucked"
"D029";"Rezzo Release";"MotionSynth"
"D030";"BambuSilverFlute";"Woodwind/Reed"
"D031";"CyborgFactoryHit";"SE"
"D032";"The ANAPIZZ";"FastSynth"
"D033";"R&B E.Piano";"Keyboard"
"D034";"Arp Twins";"Hit/Arpg"
"D035";"Camera Strings";"Strings"
"D036";"Busy Sync";"LeadSynth"
"D037";"30303 Square";"Bass/Synth Bass"
"D038";"Trumpet Ens.";"Brass"
"D039";""Dirty ""B"""";"Organ"
"D040";"Log Drum & Bells";"Bell/Mallet"
"D041";"Freedom Pad";"SlowSynth"
"D042";"Thin AnaLead";"LeadSynth"
"D043";"E.Bass Pick 1";"Bass/Synth Bass"
"D044";"Indian Stars";"Guitar/Plucked"
"D045";"OutOfTheClouds";"MotionSynth"
"D046";"BariSax Growl -Y";"Woodwind/Reed"
"D047";"Hemispheres";"SE"
"D048";"Techno Phonic";"FastSynth"
"D049";"Clav Snap";"Keyboard"
"D050";"Old Record Hit";"Hit/Arpg"
"D051";"Cyber Tom";"Bass/Synth Bass"
"D052";"That Heaven Vibe";"SlowSynth"
"D053";"Aaah Voices ST";"Vocal/Airy"
"D054";"French Horn Sect";"Brass"
"D055";"Garage Organ";"Organ"
"D056";"Nu Strat";"Guitar/Plucked"
"D057";"Brass Pad";"SlowSynth"
"D058";"Brian's Sync";"LeadSynth"
"D059";"SynBassRes";"Bass/Synth Bass"
"D060";"Vox Wah Chicks";"Guitar/Plucked"
"D061";"Stereo WaveSweep";"MotionSynth"
"D062";"Bassoon";"Woodwind/Reed"
"D063";"Flute Pad";"FastSynth"
"D064";"Syn Pizz";"FastSynth"
"D065";"ST Piano mp/f";"Keyboard"
"D066";"Arp Angeles";"Hit/Arpg"
"D067";"Analog Velvet";"Strings"
"D068";"Clock It Out";"MotionSynth"
"D069";"MG Pulse Bass";"Bass/Synth Bass"
"D070";"Power Saw";"FastSynth"
"D071";"Formant Voices";"Vocal/Airy"
"D072";"Vibraphone 1";"Bell/Mallet"
"D073";"StereoStringsEXP";"Strings"
"D074";"Syn Pipes";"LeadSynth"
"D075";"Digi Syn Bass";"Bass/Synth Bass"
"D076";"PiezoMix Guitar";"Guitar/Plucked"
"D077";"Dolphin Ride";"MotionSynth"
"D078";"Studio Stage EP";"Keyboard"
"D079";"Glass Vox";"MotionSynth"
"D080";"Ana Brass/Lead";"FastSynth"
"D081";"Reson Piano";"Keyboard"
"D082";"Hit Me 2 Times!!";"Hit/Arpg"
"D083";"Euro 8va Bass";"Bass/Synth Bass"
"D084";"WAcKy HiPHop Kit";"Drums"
